sample-id
CGV013
CGV001
CGV032
CGV002
CGV008
CGV020
CGV014
CGV037
CGV016
CGV029
CGV027
CGV046
CGV081
CGV005
CGV034
CGV009
CGV102
CGV043
CGV045
CGV004
CGV021
CGV083
CGV022
CGV025
CGV011
CGV018
CGV031
CGV040
CGV035
CGV069
CGV010
CGV50
CGV003
CGV006
CGV028
CGV047
CGV095
CGV097
CGV066
CGV033
CGV062
CGV038
CGV007
CGV017
CGV60
CGV015
CGV012
CGV024
CGV019
CGV030
CGV026
CGV088
CGV023
CGV089
CGV105
